Time Step,Time,EVAPOTRANS,sloth_ice_fraction_schaake,sloth_ice_fraction_xinan,sloth_smp
143,2022-08-30 12:00:00,0.000000,0.000000,0.000000,0.000000
144,2022-08-30 13:00:00,0.000000,0.000000,0.000000,0.000000
145,2022-08-30 14:00:00,0.000000,0.000000,0.000000,0.000000
146,2022-08-30 15:00:00,0.000000,0.000000,0.000000,0.000000
147,2022-08-30 16:00:00,0.000000,0.000000,0.000000,0.000000
148,2022-08-30 17:00:00,0.000000,0.000000,0.000000,0.000000
149,2022-08-30 18:00:00,0.000000,0.000000,0.000000,0.000000
150,2022-08-30 19:00:00,0.000000,0.000000,0.000000,0.000000
151,2022-08-30 20:00:00,0.000000,0.000000,0.000000,0.000000
152,2022-08-30 21:00:00,0.000000,0.000000,0.000000,0.000000
153,2022-08-30 22:00:00,0.000000,0.000000,0.000000,0.000000
154,2022-08-30 23:00:00,0.000000,0.000000,0.000000,0.000000
155,2022-08-31 00:00:00,0.000000,0.000000,0.000000,0.000000
156,2022-08-31 01:00:00,0.000000,0.000000,0.000000,0.000000
157,2022-08-31 02:00:00,0.000000,0.000000,0.000000,0.000000
158,2022-08-31 03:00:00,0.000000,0.000000,0.000000,0.000000
159,2022-08-31 04:00:00,0.000000,0.000000,0.000000,0.000000
160,2022-08-31 05:00:00,0.000000,0.000000,0.000000,0.000000
161,2022-08-31 06:00:00,0.000000,0.000000,0.000000,0.000000
162,2022-08-31 07:00:00,0.000000,0.000000,0.000000,0.000000
163,2022-08-31 08:00:00,0.000000,0.000000,0.000000,0.000000
164,2022-08-31 09:00:00,0.000000,0.000000,0.000000,0.000000
165,2022-08-31 10:00:00,0.000000,0.000000,0.000000,0.000000
166,2022-08-31 11:00:00,0.000000,0.000000,0.000000,0.000000
167,2022-08-31 12:00:00,0.000000,0.000000,0.000000,0.000000
168,2022-08-31 13:00:00,0.000000,0.000000,0.000000,0.000000
169,2022-08-31 14:00:00,0.000000,0.000000,0.000000,0.000000
170,2022-08-31 15:00:00,0.000000,0.000000,0.000000,0.000000
171,2022-08-31 16:00:00,0.000000,0.000000,0.000000,0.000000
172,2022-08-31 17:00:00,0.000000,0.000000,0.000000,0.000000
173,2022-08-31 18:00:00,0.000000,0.000000,0.000000,0.000000
174,2022-08-31 19:00:00,0.000000,0.000000,0.000000,0.000000
175,2022-08-31 20:00:00,0.000000,0.000000,0.000000,0.000000
176,2022-08-31 21:00:00,0.000000,0.000000,0.000000,0.000000
177,2022-08-31 22:00:00,0.000000,0.000000,0.000000,0.000000
178,2022-08-31 23:00:00,0.000000,0.000000,0.000000,0.000000
179,2022-09-01 00:00:00,0.000000,0.000000,0.000000,0.000000
180,2022-09-01 01:00:00,0.000000,0.000000,0.000000,0.000000
181,2022-09-01 02:00:00,0.000000,0.000000,0.000000,0.000000
182,2022-09-01 03:00:00,0.000000,0.000000,0.000000,0.000000
183,2022-09-01 04:00:00,0.000000,0.000000,0.000000,0.000000
184,2022-09-01 05:00:00,0.000000,0.000000,0.000000,0.000000
185,2022-09-01 06:00:00,0.000000,0.000000,0.000000,0.000000
186,2022-09-01 07:00:00,0.000000,0.000000,0.000000,0.000000
187,2022-09-01 08:00:00,0.000000,0.000000,0.000000,0.000000
188,2022-09-01 09:00:00,0.000000,0.000000,0.000000,0.000000
189,2022-09-01 10:00:00,0.000000,0.000000,0.000000,0.000000
190,2022-09-01 11:00:00,0.000000,0.000000,0.000000,0.000000
191,2022-09-01 12:00:00,0.000000,0.000000,0.000000,0.000000
192,2022-09-01 13:00:00,0.000000,0.000000,0.000000,0.000000
193,2022-09-01 14:00:00,0.000000,0.000000,0.000000,0.000000
194,2022-09-01 15:00:00,0.000000,0.000000,0.000000,0.000000
195,2022-09-01 16:00:00,0.000000,0.000000,0.000000,0.000000
196,2022-09-01 17:00:00,0.000000,0.000000,0.000000,0.000000
197,2022-09-01 18:00:00,0.000000,0.000000,0.000000,0.000000
198,2022-09-01 19:00:00,0.000000,0.000000,0.000000,0.000000
199,2022-09-01 20:00:00,0.000000,0.000000,0.000000,0.000000
200,2022-09-01 21:00:00,0.000000,0.000000,0.000000,0.000000
201,2022-09-01 22:00:00,0.000000,0.000000,0.000000,0.000000
202,2022-09-01 23:00:00,0.000000,0.000000,0.000000,0.000000
203,2022-09-02 00:00:00,0.000000,0.000000,0.000000,0.000000
204,2022-09-02 01:00:00,0.000000,0.000000,0.000000,0.000000
205,2022-09-02 02:00:00,0.000000,0.000000,0.000000,0.000000
206,2022-09-02 03:00:00,0.000000,0.000000,0.000000,0.000000
207,2022-09-02 04:00:00,0.000000,0.000000,0.000000,0.000000
